date,process,energy,energy_type,energy_unit,fuel,fuel_type,fuel_unit,material,material_type,material_unit,waste,waste_type,waste_unit,production,production_unit
2025-10-01,Furnace,19792,ELECTRICITY,kWh,16625,NATURAL_GAS,m3,158.33,VIRGIN_ALUMINUM,tonne,,,,791.67,tonnes
2025-10-01,Electricity,47500,ELECTRICITY,kWh,,,,,,,,,,,
2025-10-01,Boiler,,,,7125,NATURAL_GAS,m3,,,,,,,,
2025-10-01,Transport,,,,3167,DIESEL,L,,,,,,,,
2025-10-01,Waste,,,,,,,,,,27.71,WASTE_LANDFILL,tonne,,
2025-11-01,Furnace,20417,ELECTRICITY,kWh,17150,NATURAL_GAS,m3,163.33,VIRGIN_ALUMINUM,tonne,,,,816.67,tonnes
2025-11-01,Electricity,49000,ELECTRICITY,kWh,,,,,,,,,,,
2025-11-01,Boiler,,,,7350,NATURAL_GAS,m3,,,,,,,,
2025-11-01,Transport,,,,3267,DIESEL,L,,,,,,,,
2025-11-01,Waste,,,,,,,,,,28.58,WASTE_LANDFILL,tonne,,
2025-12-01,Furnace,21875,ELECTRICITY,kWh,18375,NATURAL_GAS,m3,175,VIRGIN_ALUMINUM,tonne,,,,875,tonnes
2025-12-01,Electricity,52500,ELECTRICITY,kWh,,,,,,,,,,,
2025-12-01,Boiler,,,,7875,NATURAL_GAS,m3,,,,,,,,
2025-12-01,Transport,,,,3500,DIESEL,L,,,,,,,,
2025-12-01,Waste,,,,,,,,,,30.63,WASTE_LANDFILL,tonne,,
2026-01-01,Furnace,22917,ELECTRICITY,kWh,19250,NATURAL_GAS,m3,183.33,VIRGIN_ALUMINUM,tonne,,,,916.67,tonnes
2026-01-01,Electricity,55000,ELECTRICITY,kWh,,,,,,,,,,,
2026-01-01,Boiler,,,,8250,NATURAL_GAS,m3,,,,,,,,
2026-01-01,Transport,,,,3667,DIESEL,L,,,,,,,,
2026-01-01,Waste,,,,,,,,,,32.08,WASTE_LANDFILL,tonne,,
2026-02-01,Furnace,22500,ELECTRICITY,kWh,18900,NATURAL_GAS,m3,180,VIRGIN_ALUMINUM,tonne,,,,900,tonnes
2026-02-01,Electricity,54000,ELECTRICITY,kWh,,,,,,,,,,,
2026-02-01,Boiler,,,,8100,NATURAL_GAS,m3,,,,,,,,
2026-02-01,Transport,,,,3600,DIESEL,L,,,,,,,,
2026-02-01,Waste,,,,,,,,,,31.5,WASTE_LANDFILL,tonne,,
2026-03-01,Furnace,20833,ELECTRICITY,kWh,17500,NATURAL_GAS,m3,166.67,VIRGIN_ALUMINUM,tonne,,,,833.33,tonnes
2026-03-01,Electricity,50000,ELECTRICITY,kWh,,,,,,,,,,,
2026-03-01,Boiler,,,,7500,NATURAL_GAS,m3,,,,,,,,
2026-03-01,Transport,,,,3333,DIESEL,L,,,,,,,,
2026-03-01,Waste,,,,,,,,,,29.17,WASTE_LANDFILL,tonne,,
2026-04-01,Furnace,20208,ELECTRICITY,kWh,16975,NATURAL_GAS,m3,161.67,VIRGIN_ALUMINUM,tonne,,,,808.33,tonnes
2026-04-01,Electricity,48500,ELECTRICITY,kWh,,,,,,,,,,,
2026-04-01,Boiler,,,,7275,NATURAL_GAS,m3,,,,,,,,
2026-04-01,Transport,,,,3233,DIESEL,L,,,,,,,,
2026-04-01,Waste,,,,,,,,,,28.29,WASTE_LANDFILL,tonne,,
2026-05-01,Furnace,19375,ELECTRICITY,kWh,16275,NATURAL_GAS,m3,155,VIRGIN_ALUMINUM,tonne,,,,775,tonnes
2026-05-01,Electricity,46500,ELECTRICITY,kWh,,,,,,,,,,,
2026-05-01,Boiler,,,,6975,NATURAL_GAS,m3,,,,,,,,
2026-05-01,Transport,,,,3100,DIESEL,L,,,,,,,,
2026-05-01,Waste,,,,,,,,,,27.13,WASTE_LANDFILL,tonne,,
2026-06-01,Furnace,20000,ELECTRICITY,kWh,16800,NATURAL_GAS,m3,160,VIRGIN_ALUMINUM,tonne,,,,800,tonnes
2026-06-01,Electricity,48000,ELECTRICITY,kWh,,,,,,,,,,,
2026-06-01,Boiler,,,,7200,NATURAL_GAS,m3,,,,,,,,
2026-06-01,Transport,,,,3200,DIESEL,L,,,,,,,,
2026-06-01,Waste,,,,,,,,,,28,WASTE_LANDFILL,tonne,,
2026-07-01,Furnace,20833,ELECTRICITY,kWh,17500,NATURAL_GAS,m3,166.67,VIRGIN_ALUMINUM,tonne,,,,833.33,tonnes
2026-07-01,Electricity,50000,ELECTRICITY,kWh,,,,,,,,,,,
2026-07-01,Boiler,,,,7500,NATURAL_GAS,m3,,,,,,,,
2026-07-01,Transport,,,,3333,DIESEL,L,,,,,,,,
2026-07-01,Waste,,,,,,,,,,29.17,WASTE_LANDFILL,tonne,,
2026-08-01,Furnace,21250,ELECTRICITY,kWh,17850,NATURAL_GAS,m3,170,VIRGIN_ALUMINUM,tonne,,,,850,tonnes
2026-08-01,Electricity,51000,ELECTRICITY,kWh,,,,,,,,,,,
2026-08-01,Boiler,,,,7650,NATURAL_GAS,m3,,,,,,,,
2026-08-01,Transport,,,,3400,DIESEL,L,,,,,,,,
2026-08-01,Waste,,,,,,,,,,29.75,WASTE_LANDFILL,tonne,,
2026-09-01,Furnace,20000,ELECTRICITY,kWh,16800,NATURAL_GAS,m3,160,VIRGIN_ALUMINUM,tonne,,,,800,tonnes
2026-09-01,Electricity,48000,ELECTRICITY,kWh,,,,,,,,,,,
2026-09-01,Boiler,,,,7200,NATURAL_GAS,m3,,,,,,,,
2026-09-01,Transport,,,,3200,DIESEL,L,,,,,,,,
2026-09-01,Waste,,,,,,,,,,28,WASTE_LANDFILL,tonne,,
